modality,model,accuracy,f1_macro,f1_weighted,roc_auc
text_transformer,roberta-base,0.959,0.952537452,0.959087568,
text_transformer,bert-base-uncased,0.946,0.936773777,0.945806781,
text_transformer,distilbert-base-uncased,0.943,0.933902238,0.943073567,
text_ml,xgboost,0.939391083,0.928895217,0.939373058,
text_ml,random_forest,0.938637006,0.927912355,0.938576726,
text_ml,svm,0.921858799,0.910134245,0.922583935,
image_dl,resnet50,0.883333333,0.883040936,0.883040936,0.941111111
image_dl,resnet18,0.85,0.847930161,0.847930161,0.941111111
image_dl,mobilenet_v2,0.833333333,0.832589286,0.832589286,0.93
image_dl,cnn,0.8,0.8,0.8,0.92
image_dl,efficientnet_b0,0.8,0.799777531,0.799777531,0.948888889
video_dl,audio_lstm,0.78,0.764049764,0.778773059,0.799660441
trimodal,text+image+video_late,0.76,0.714285714,0.741714286,0.669779287
video_dl,audio_cnn1d,0.75,0.730341926,0.74781577,0.744482173
video_dl,video_audio_gru,0.74,0.731293923,0.742902026,0.790747029
video_dl,video_audio_lstm,0.72,0.6996997,0.718438438,0.779711375
fusion_proxy,fusion_early,0.715,0.711573201,0.723362647,0.802336582
fusion_proxy,fusion_early_rf_concat,0.7125,0.708612822,0.721233529,0.797133964
fusion_proxy,fusion_late,0.712,0.708472517,0.720498026,0.801452218
fusion_proxy,fusion_attention,0.7085,0.704896715,0.717125057,0.8050688
text_baseline,text_unimodal,0.7055,0.70267354,0.713544539,0.790014255
bimodal,image+video,0.69,0.678389874,0.693055296,0.717317487
trimodal,text+image+video_attention,0.69,0.678389874,0.693055296,0.666383701
trimodal,text+image+video_early,0.68,0.675324675,0.684675325,0.719864177
text_dl,text_bilstm,0.61,0.574189322,0.603825745,0.578098472
image_lmvd,resnet50,0.6,0.586606036,0.604464655,0.646646859
image_lmvd,efficientnet_b0,0.6,0.579655317,0.601849517,0.602079796
image_lmvd,mobilenet_v2,0.59,0.582951887,0.595963788,0.562606112
video_dl,visual_lstm,0.59,0.524968138,0.567150967,0.605475382
image_lmvd,vgg16,0.58,0.571603427,0.585997552,0.553268251
bimodal,text+video,0.58,0.50911641,0.553884993,0.60229202
bimodal,text+image,0.58,0.50911641,0.553884993,0.491935484
text_dl,text_gru,0.57,0.567882625,0.560623053,0.581494058
text_dl,text_mlp,0.57,0.562608076,0.576254705,0.598896435
image_lmvd,cnn,0.57,0.501795852,0.54603638,0.492359932
text_dl,text_cnn,0.56,0.559294872,0.555064103,0.601443124
image_lmvd,resnet18,0.56,0.541666667,0.563666667,0.521859083
image_dl,vgg16,0.5,0.333333333,0.333333333,0.594444444
