dataset,model,subset,n,pos_rate,accuracy,f1_macro,f1_weighted,recall_distress,precision_distress,roc_auc
social_text,text_rf,full_test,3000,0.6876666666666666,0.6973333333333334,0.6945573346382299,0.705486616214057,0.5763451284537082,0.9721995094031071,0.7822008545129384
social_text,text_rf,paradox_test,194,1.0,0.8505154639175257,0.4596100278551532,0.9192200557103064,0.8505154639175257,1.0,
social_text,fusion_early_rf,full_test,3000,0.6876666666666666,0.704,0.700636350028925,0.7125466326309076,0.588948133785749,0.9681274900398407,0.7925623024152224
social_text,fusion_early_rf,paradox_test,194,1.0,0.8556701030927835,0.46111111111111114,0.9222222222222223,0.8556701030927835,1.0,
social_text,fusion_early_nn,full_test,3000,0.6876666666666666,0.7103333333333334,0.7064966245986001,0.7190917675586864,0.5996122152205526,0.96640625,0.800073045905627
social_text,fusion_early_nn,paradox_test,194,1.0,0.8865979381443299,0.46994535519125685,0.9398907103825137,0.8865979381443299,1.0,
lmvd,lmvd_text_rf,full_test,80,0.525,0.85,0.849906191369606,0.850093808630394,0.8333333333333334,0.875,0.8978696741854637
lmvd,lmvd_text_rf,paradox_test,18,1.0,0.8333333333333334,0.45454545454545453,0.9090909090909091,0.8333333333333334,1.0,
lmvd,lmvd_trimodal_rf,full_test,80,0.525,0.825,0.8240100565681961,0.8246700188560654,0.8571428571428571,0.8181818181818182,0.931704260651629
lmvd,lmvd_trimodal_rf,paradox_test,18,1.0,0.8333333333333334,0.45454545454545453,0.9090909090909091,0.8333333333333334,1.0,
