modality,model,task,test_accuracy,test_f1_macro,test_f1_weighted,test_roc_auc
text_dl,text_mlp,classification,0.57,0.562608076492727,0.576254704506154,0.5988964346349746
text_dl,text_cnn,classification,0.56,0.5592948717948718,0.5550641025641024,0.6014431239388794
text_dl,text_bilstm,classification,0.61,0.5741893219783819,0.6038257451686866,0.5780984719864176
text_dl,text_gru,classification,0.57,0.567882624861823,0.5606230529595015,0.5814940577249577
image_dl,cnn,classification,0.57,0.5017958521608157,0.5460363804889353,0.4923599320882852
image_dl,resnet18,classification,0.56,0.5416666666666666,0.5636666666666666,0.5218590831918506
image_dl,resnet50,classification,0.6,0.586606035551881,0.6044646548160396,0.6466468590831919
image_dl,efficientnet_b0,classification,0.6,0.5796553173602353,0.601849516603615,0.6020797962648557
image_dl,vgg16,classification,0.58,0.5716034271725826,0.5859975520195838,0.5532682512733447
image_dl,mobilenet_v2,classification,0.59,0.5829518868884143,0.5959637880174956,0.5626061120543293
video_dl,video_audio_lstm,classification,0.72,0.6996996996996997,0.7184384384384385,0.7797113752122241
video_dl,visual_lstm,classification,0.59,0.5249681381068243,0.5671509674429384,0.6054753820033956
video_dl,audio_lstm,classification,0.78,0.7640497640497641,0.7787730587730587,0.799660441426146
video_dl,video_audio_gru,classification,0.74,0.7312939231087227,0.7429020256304258,0.7907470288624788
video_dl,audio_cnn1d,classification,0.75,0.7303419264372775,0.747815769604142,0.7444821731748728
bimodal,text+video,classification,0.58,0.5091164095371669,0.5538849929873773,0.6022920203735145
bimodal,image+video,classification,0.69,0.6783898744683059,0.6930552961925511,0.7173174872665535
bimodal,text+image,classification,0.58,0.5091164095371669,0.5538849929873773,0.49193548387096775
trimodal,text+image+video_early,classification,0.68,0.6753246753246753,0.6846753246753247,0.7198641765704584
trimodal,text+image+video_late,classification,0.76,0.7142857142857143,0.7417142857142858,0.669779286926995
trimodal,text+image+video_attention,classification,0.69,0.6783898744683059,0.6930552961925511,0.666383701188455
